candidate_id,title,company,semantic_score,retrieval_score,production_score,evaluation_score,ai_score,negative_score,final_score
CAND_0002025,Senior AI Engineer,Apple,0.646,0.96,0.4,0.3,0.64,0.0,0.7591
CAND_0003977,Recommendation Systems Engineer,Google,0.701,0.64,0.16,0.1,0.48,0.0,0.6373
CAND_0001610,Machine Learning Engineer,Dream11,0.558,0.88,0.24,0.2,0.56,0.0,0.6261
CAND_0002120,ML Engineer,HCL,0.54,0.64,0.24,0.0,0.64,0.0,0.5785
CAND_0004402,AI Research Engineer,Yellow.ai,0.603,0.4,0.4,0.1,0.48,0.0,0.5541
CAND_0000981,ML Engineer,Wysa,0.57,0.48,0.24,0.0,0.4,0.0,0.5443
CAND_0004972,ML Engineer,Glance,0.549,0.4,0.4,0.0,0.56,0.0,0.5385
CAND_0001930,Senior Software Engineer (ML),Dream11,0.606,0.4,0.24,0.0,0.48,0.0,0.5334
CAND_0001494,Data Scientist,Haptik,0.598,0.48,0.24,0.0,0.48,0.0,0.5294
CAND_0003557,ML Engineer,Krutrim,0.549,0.4,0.24,0.0,0.32,0.0,0.5073
CAND_0001131,ML Engineer,Wysa,0.476,0.4,0.32,0.1,0.4,0.0,0.5057
CAND_0000165,AI Specialist,Mad Street Den,0.54,0.56,0.48,0.1,0.48,0.0,0.5026
CAND_0002344,Senior Software Engineer (ML),upGrad,0.521,0.32,0.48,0.1,0.4,0.0,0.4996
CAND_0003575,Data Scientist,Glance,0.451,0.56,0.48,0.0,0.48,0.0,0.4948
CAND_0000273,ML Engineer,BYJU'S,0.556,0.32,0.24,0.0,0.4,0.0,0.4936
CAND_0001651,Data Scientist,Meesho,0.479,0.4,0.4,0.0,0.4,0.0,0.4887
CAND_0001707,Data Scientist,Vedantu,0.492,0.4,0.32,0.1,0.48,0.0,0.4884
CAND_0003609,Senior Software Engineer (ML),Sarvam AI,0.48,0.32,0.4,0.0,0.4,0.0,0.4843
CAND_0002037,ML Engineer,Locobuzz,0.465,0.4,0.24,0.0,0.4,0.0,0.4838
CAND_0001056,Computer Vision Engineer,Genpact AI,0.444,0.56,0.48,0.1,0.48,0.0,0.476
CAND_0002426,Data Scientist,Freshworks,0.549,0.48,0.24,0.0,0.4,0.0,0.4757
CAND_0004534,Senior Software Engineer (ML),Glance,0.504,0.32,0.32,0.1,0.4,0.0,0.4709
